parkinglot_id,parkinglot_name,latitude,longitude,parkinglot_div,parkinglot_type,parkinglot_num,parkinglot_cost,parkinglot_add,parkinglot_time
19763,연희동 제1공영주차장,37.57672782,126.9343227,공영,노외,24,유료,서울특별시 서대문구 연희동 151-32,연중 무휴
19764,홍은2동 제3공영주차장,37.58676844,126.9342233,공영,노외,54,유료,서울특별시 서대문구 홍은동 265-26,연중 무휴
19765,대기마을 주차장,36.064042,126.933788,공영,노외,11,무료,전라북도 익산시 성당면 대선리 607-3,연중 무휴
19766,원신기마을 주차장,35.996353,126.933729,공영,노외,18,무료,전라북도 익산시 황등면 신기리 280-21,연중 무휴
19767,동백길공영주차장,37.371525,126.933342,공영,노상,31,유료,경기도 군포시 산본동 1061,연중 무휴
19768,수리산1노상,37.4183915,126.9331779,공영,노상,65,유료,경기도 안양시 만안구 안양6동 481-2,"주말,공휴일 휴무"
19769,수리산1노상,37.4183915,126.9331779,공영,노상,65,유료,경기도 안양시 만안구 안양6동 481-2,"주말,공휴일 휴무"
19770,중심지하공영주차장,37.359629,126.933063,공영,노외,175,유료,경기도 군포시 산본동 1180,연중 무휴
19771,당곡중공영,37.491952,126.933037,공영,노외,159,유료,서울특별시 관악구 봉천동 682,연중 무휴
19772,문예노상,37.38590419,126.9329493,공영,노상,70,유료,경기도 안양시 만안구 안양동 532-2,"주말,공휴일 휴무"
19773,두암2동주민센터,35.17460117,126.9325311,공영,노외,20,무료,광주광역시 북구 두암동 825-16,연중 무휴
19774,두암2동주민센터,35.17460117,126.9325311,공영,노외,20,무료,광주광역시 북구 두암동 825-16,연중 무휴
19775,모전마을 주차장,36.077813,126.932472,공영,노외,27,무료,전라북도 익산시 성당면 와초리 286-4,연중 무휴
19776,대림대 앞,37.4027962,126.9324011,공영,노외,25,무료,경기도 안양시 동안구 비산1동 521-8,연중 무휴
19777,대림대 앞,37.4027962,126.9324011,공영,노외,25,무료,경기도 안양시 동안구 비산1동 521-8,연중 무휴
19778,중심1공영주차장,37.35906,126.932369,공영,노외,37,유료,경기도 군포시 산본동 1127,연중 무휴
19779,하와마을 주차장,36.073968,126.932282,공영,노외,15,무료,전라북도 익산시 성당면 와초리 231-2,연중 무휴
19780,두암동쌈지,35.17172023,126.9321866,공영,노외,8,무료,"광주광역시 북구 두암동 853-4,5",연중 무휴
19781,두암동쌈지,35.17172023,126.9321866,공영,노외,8,무료,"""광주광역시 북구 두암동 853-4,5""",연중 무휴
19782,북신석마을 주차장,35.949644,126.93193,공영,노외,26,무료,전라북도 익산시 오산면 신지리 70-27,연중 무휴
19783,홍은2동 제2공영주차장,37.58757082,126.9319219,공영,노외,24,유료,서울특별시 서대문구 홍은2동 265-170,연중 무휴
19784,수리산2노상,37.38902827,126.9317856,공영,노상,65,유료,경기도 안양시 만안구 안양동 511-4,"주말,공휴일 휴무"
19785,비산성당뒤,37.4007631,126.9317615,공영,노외,64,무료,경기도 안양시 동안구 비산1동 544-7,연중 무휴
19786,비산성당뒤,37.4007631,126.9317615,공영,노외,64,무료,경기도 안양시 동안구 비산1동 544-7,연중 무휴
19787,행복1공영주차장,37.363888,126.931674,공영,노외,17,유료,경기도 군포시 산본동 1096-1,"일요일,공휴일 휴무"
19788,수산마을 주차장,36.098928,126.931299,공영,노외,38,무료,전라북도 익산시 성당면 갈산리 225-7,연중 무휴
19789,중심2공영주차장,37.358317,126.931111,공영,노외,38,유료,경기도 군포시 산본동 1142-9,연중 무휴
19790,안양3동노외,37.3897702,126.9310532,공영,노외,49,무료,경기도 안양시 만안구 안양3동 964-14,연중 무휴
19791,안양3동노외,37.3897702,126.9310532,공영,노외,49,무료,경기도 안양시 만안구 안양3동 964-14,연중 무휴
